,team_name,team_code,player_name,player_code
0,Atlanta Hawks,ATL,Solomon Hill,/h/hillso01
1,Atlanta Hawks,ATL,Kevin Huerter,/h/huertke01
2,Atlanta Hawks,ATL,Trae Young,/y/youngtr01
3,Atlanta Hawks,ATL,John Collins,/c/collijo01
4,Atlanta Hawks,ATL,Clint Capela,/c/capelca01
5,Atlanta Hawks,ATL,Danilo Gallinari,/g/gallida01
6,Atlanta Hawks,ATL,Onyeka Okongwu,/o/okongon01
7,Atlanta Hawks,ATL,Tony Snell,/s/snellto01
8,Atlanta Hawks,ATL,Brandon Goodwin,/g/goodwbr01
9,Atlanta Hawks,ATL,Bogdan Bogdanović,/b/bogdabo01
10,Atlanta Hawks,ATL,Nathan Knight,/k/knighna01
11,Atlanta Hawks,ATL,Skylar Mays,/m/mayssk01
12,Atlanta Hawks,ATL,Bruno Fernando,/f/fernabr01
13,Atlanta Hawks,ATL,Cam Reddish,/r/reddica01
14,Atlanta Hawks,ATL,Lou Williams,/w/willilo02
15,Atlanta Hawks,ATL,De'Andre Hunter,/h/huntede01
16,Atlanta Hawks,ATL,Kris Dunn,/d/dunnkr01
17,Boston Celtics,BOS,Payton Pritchard,/p/pritcpa01
18,Boston Celtics,BOS,Jayson Tatum,/t/tatumja01
19,Boston Celtics,BOS,Grant Williams,/w/willigr01
20,Boston Celtics,BOS,Jaylen Brown,/b/brownja02
21,Boston Celtics,BOS,Semi Ojeleye,/o/ojelese01
22,Boston Celtics,BOS,Tristan Thompson,/t/thomptr01
23,Boston Celtics,BOS,Robert Williams,/w/williro04
24,Boston Celtics,BOS,Marcus Smart,/s/smartma01
25,Boston Celtics,BOS,Aaron Nesmith,/n/nesmiaa01
26,Boston Celtics,BOS,Kemba Walker,/w/walkeke02
27,Boston Celtics,BOS,Carsen Edwards,/e/edwarca01
28,Boston Celtics,BOS,Tremont Waters,/w/watertr01
29,Boston Celtics,BOS,Tacko Fall,/f/fallta01
30,Boston Celtics,BOS,Luke Kornet,/k/kornelu01
31,Boston Celtics,BOS,Romeo Langford,/l/langfro01
32,Boston Celtics,BOS,Evan Fournier,/f/fournev01
33,Boston Celtics,BOS,Jabari Parker,/p/parkeja01
34,Brooklyn Nets,BRK,Joe Harris,/h/harrijo01
35,Brooklyn Nets,BRK,Jeff Green,/g/greenje02
36,Brooklyn Nets,BRK,Bruce Brown,/b/brownbr01
37,Brooklyn Nets,BRK,Landry Shamet,/s/shamela01
38,Brooklyn Nets,BRK,Timothé Luwawu-Cabarrot,/l/luwawti01
39,Brooklyn Nets,BRK,DeAndre Jordan,/j/jordade01
40,Brooklyn Nets,BRK,Kyrie Irving,/i/irvinky01
41,Brooklyn Nets,BRK,Tyler Johnson,/j/johnsty01
42,Brooklyn Nets,BRK,James Harden,/h/hardeja01
43,Brooklyn Nets,BRK,Kevin Durant,/d/duranke01
44,Brooklyn Nets,BRK,Nicolas Claxton,/c/claxtni01
45,Brooklyn Nets,BRK,Blake Griffin,/g/griffbl01
46,Brooklyn Nets,BRK,Reggie Perry,/p/perryre01
47,Brooklyn Nets,BRK,Chris Chiozza,/c/chiozch01
48,Brooklyn Nets,BRK,Alize Johnson,/j/johnsal02
49,Brooklyn Nets,BRK,Mike James,/j/jamesmi02
50,Brooklyn Nets,BRK,Andre Roberson,/r/roberan03
51,Brooklyn Nets,BRK,Spencer Dinwiddie,/d/dinwisp01
52,Brooklyn Nets,BRK,Iman Shumpert,/s/shumpim01
53,Charlotte Hornets,CHO,Terry Rozier,/r/roziete01
54,Charlotte Hornets,CHO,Miles Bridges,/b/bridgmi02
55,Charlotte Hornets,CHO,Bismack Biyombo,/b/biyombi01
56,Charlotte Hornets,CHO,P.J. Washington,/w/washipj01
57,Charlotte Hornets,CHO,Devonte' Graham,/g/grahade01
58,Charlotte Hornets,CHO,Caleb Martin,/m/martica02
59,Charlotte Hornets,CHO,Cody Martin,/m/martico01
60,Charlotte Hornets,CHO,LaMelo Ball,/b/ballla01
61,Charlotte Hornets,CHO,Cody Zeller,/z/zelleco01
62,Charlotte Hornets,CHO,Jalen McDaniels,/m/mcdanja01
63,Charlotte Hornets,CHO,Gordon Hayward,/h/haywago01
64,Charlotte Hornets,CHO,Malik Monk,/m/monkma01
65,Charlotte Hornets,CHO,Brad Wanamaker,/w/wanambr01
66,Charlotte Hornets,CHO,Vernon Carey Jr.,/c/careyve01
67,Charlotte Hornets,CHO,Nick Richards,/r/richani01
68,Charlotte Hornets,CHO,Grant Riller,/r/rillegr01
69,Charlotte Hornets,CHO,Nate Darling,/d/darlina01
70,Chicago Bulls,CHI,Patrick Williams,/w/willipa01
71,Chicago Bulls,CHI,Coby White,/w/whiteco01
72,Chicago Bulls,CHI,Thaddeus Young,/y/youngth01
73,Chicago Bulls,CHI,Denzel Valentine,/v/valende01
74,Chicago Bulls,CHI,Zach LaVine,/l/lavinza01
