,player,date,team,home,opp,min,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,/y/youngtr01,2020-12-23,ATL,@,CHI,25:57,10,12,5,6,12,14,2,4,6,7,0,0,4,1,37,34.9,+30
1,/y/youngtr01,2020-12-26,ATL,@,MEM,35:23,10,24,1,7,15,17,2,1,3,9,0,0,2,1,36,28.0,+12
2,/y/youngtr01,2020-12-28,ATL,,DET,32:55,6,13,2,6,15,15,0,3,3,6,0,0,3,2,29,23.6,0
3,/y/youngtr01,2020-12-30,ATL,@,BRK,31:56,8,18,0,4,14,16,3,3,6,11,0,0,5,0,30,25.5,+5
4,/y/youngtr01,2021-01-01,ATL,@,BRK,32:27,7,21,3,8,4,4,2,3,5,7,1,1,3,2,21,14.2,+11
5,/y/youngtr01,2021-01-02,ATL,,CLE,34:06,6,16,2,5,2,4,1,3,4,10,1,0,6,2,16,9.2,+3
6,/y/youngtr01,2021-01-04,ATL,,NYK,39:37,9,22,1,6,12,15,1,1,2,14,1,0,8,3,31,20.6,+7
7,/y/youngtr01,2021-01-06,ATL,,CHO,35:04,2,9,0,3,3,3,0,5,5,3,1,0,7,4,7,-2.5,-15
8,/y/youngtr01,2021-01-09,ATL,@,CHO,37:08,5,19,0,5,5,5,2,0,2,10,0,0,5,4,15,5.5,0
9,/y/youngtr01,2021-01-11,ATL,,PHI,25:29,9,19,3,7,5,6,0,3,3,8,1,0,0,1,26,23.0,+20
10,/y/youngtr01,2021-01-15,ATL,@,UTA,24:02,1,11,0,2,2,2,0,4,4,7,1,1,2,0,4,2.5,-17
11,/y/youngtr01,2021-01-16,ATL,@,POR,38:52,7,23,1,9,11,12,0,7,7,11,0,0,5,2,26,16.3,-11
12,/y/youngtr01,2021-01-18,ATL,,MIN,32:16,3,8,2,5,12,13,0,8,8,13,3,0,6,5,20,21.7,+12
13,/y/youngtr01,2021-01-20,ATL,,DET,44:01,11,26,3,5,13,19,2,2,4,10,2,1,2,1,38,31.1,+7
14,/y/youngtr01,2021-01-22,ATL,@,MIN,30:58,14,22,8,12,7,7,0,4,4,5,0,0,7,0,43,30.9,+14
15,/y/youngtr01,2021-01-26,ATL,,LAC,36:17,12,23,3,7,11,11,0,3,3,5,1,0,3,0,38,29.1,+12
16,/y/youngtr01,2021-01-27,ATL,,BRK,43:38,7,22,3,8,11,12,0,3,3,14,0,1,3,4,28,21.8,+2
17,/y/youngtr01,2021-01-29,ATL,@,WAS,33:41,10,18,5,9,16,17,1,2,3,5,0,0,2,4,41,33.2,+12
18,/y/youngtr01,2021-02-01,ATL,,LAL,38:31,7,15,1,4,10,11,0,4,4,16,2,0,7,3,25,23.1,-2
19,/y/youngtr01,2021-02-03,ATL,,DAL,35:40,8,18,3,8,2,3,0,4,4,9,1,0,4,3,21,14.5,+4
20,/y/youngtr01,2021-02-06,ATL,,TOR,36:08,6,15,2,4,14,14,0,2,2,13,0,2,7,3,28,22.8,+9
21,/y/youngtr01,2021-02-10,ATL,@,DAL,42:00,8,22,4,11,5,6,1,6,7,15,1,1,3,2,25,23.3,+7
22,/y/youngtr01,2021-02-12,ATL,,SAS,23:24,8,15,2,6,7,8,0,1,1,3,1,0,2,1,25,18.3,-27
23,/y/youngtr01,2021-02-13,ATL,,IND,36:15,3,9,0,0,9,11,1,0,1,14,0,0,3,2,15,15.8,-5
24,/y/youngtr01,2021-02-15,ATL,@,NYK,39:56,6,19,1,4,10,12,0,3,3,8,1,0,4,2,23,14.0,-4
25,/y/youngtr01,2021-02-17,ATL,@,BOS,35:08,14,20,4,9,8,8,0,3,3,8,2,0,8,1,40,31.7,+2
26,/y/youngtr01,2021-02-19,ATL,@,BOS,36:33,10,16,3,7,8,9,0,4,4,11,3,0,6,1,31,28.9,-26
27,/y/youngtr01,2021-02-21,ATL,,DEN,36:07,10,19,4,7,11,13,2,4,6,15,1,0,3,2,35,35.2,+6
28,/y/youngtr01,2021-02-23,ATL,@,CLE,37:56,9,27,1,7,9,13,3,4,7,12,0,1,5,2,28,17.7,+7
29,/y/youngtr01,2021-02-24,ATL,,BOS,34:39,12,23,5,11,4,5,2,2,4,7,1,0,4,1,33,24.8,+13
30,/y/youngtr01,2021-02-26,ATL,@,OKC,31:23,7,21,3,9,0,0,0,6,6,8,0,0,3,0,17,9.5,-12
