Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,New York Knicks*,71,242.1,38,86.2,0.44,12,35.5,0.338,25.9,50.7,0.512,17,22.3,0.761,9.7,34.4,44,23.6,6.6,5.4,12.8,17.8,104.9
2,Los Angeles Lakers,71,242.5,39.8,86.5,0.46,11.4,32.3,0.352,28.4,54.2,0.524,15.9,20.5,0.776,8.8,33.1,42,24.6,8.3,4.5,15.1,21.3,106.9
3,Utah Jazz*,71,241.1,40.9,91.4,0.447,10.9,31.9,0.342,30,59.5,0.503,14.7,19.1,0.769,9.9,32.8,42.7,22.3,7.7,3.9,11.5,18.9,107.3
4,Los Angeles Clippers*,71,240,40,86.3,0.463,11.6,32.6,0.356,28.3,53.7,0.528,16.2,20.7,0.779,9.1,31.9,41,23,7.2,4.1,12.8,18.2,107.7
5,Philadelphia 76ers*,71,242.1,39.4,87.1,0.453,11.9,33.1,0.36,27.5,54,0.509,17.2,22.5,0.762,9.8,33.1,42.9,23.5,7.3,4.7,15.6,20.9,107.9
6,Miami Heat*,71,241.4,39.1,85.2,0.459,14.3,39.1,0.366,24.8,46.1,0.538,15.6,19.9,0.783,9.5,33.5,43,25.8,7.6,4,15.1,19.6,108.1
7,Phoenix Suns*,71,242.8,40.4,86.6,0.466,11.7,32.9,0.355,28.7,53.7,0.534,16.9,21.7,0.778,9.3,33.3,42.7,22.8,6.9,3.6,13.7,18.1,109.3
8,Dallas Mavericks*,71,240.4,39.9,87,0.459,12.8,35.2,0.364,27.2,51.9,0.524,17.1,22.5,0.763,9.8,34.3,44,22.5,7.3,3.7,12.6,20.1,109.8
9,Denver Nuggets*,71,242.8,40,85.4,0.468,12.9,35.6,0.362,27.1,49.8,0.543,17,22,0.772,9,32,41.1,25.9,7.6,4.5,14.1,19.2,109.8
10,Detroit Pistons,71,242.1,41.3,87,0.475,11.3,31.4,0.361,30,55.6,0.539,17,22.4,0.761,10,34.4,44.4,24.7,8,5.8,14,20.4,111
11,Charlotte Hornets,71,241.1,41.2,88.1,0.468,14.5,39.7,0.366,26.7,48.4,0.551,14.3,19.2,0.745,10.6,34.4,45.1,27.2,8.1,4.8,14.8,18.6,111.3
12,Boston Celtics,71,241.4,40,86.1,0.465,12.8,34.5,0.373,27.2,51.6,0.526,18.5,23.6,0.785,9.5,33,42.5,24.2,7.4,4.6,14.1,19.3,111.4
13,Toronto Raptors,71,240.4,38.9,84.6,0.46,13.9,36.7,0.379,25,47.9,0.522,19.9,24.9,0.799,10,35.8,45.8,25.9,6.6,5.6,16.2,19.5,111.5
14,Chicago Bulls,71,241.4,41.5,87.6,0.473,11.5,32.3,0.357,30,55.4,0.541,17.1,22.1,0.774,8.6,33.5,42.2,24.3,8.5,5.1,12.7,17.8,111.6
15,Atlanta Hawks*,71,241.8,41.4,89.1,0.465,11.8,33.8,0.35,29.6,55.3,0.534,17,21.1,0.803,10,32.7,42.6,24.4,7.7,5,12.3,19.8,111.6
16,Cleveland Cavaliers,71,242.1,41.9,86.8,0.483,12.4,32.5,0.381,29.6,54.3,0.544,15.9,20.4,0.779,10,33.9,43.8,25.3,8.5,5.9,14.4,20.2,112.1
17,Memphis Grizzlies,71,241.8,41,88.8,0.462,12.8,35,0.366,28.2,53.8,0.524,17.4,22.1,0.787,9.7,34.9,44.7,25.4,7.6,5.3,14.8,18.3,112.3
18,San Antonio Spurs,71,242.8,42.3,89.6,0.472,12.3,32.6,0.377,30,57,0.526,15.8,20.9,0.757,10.2,37.2,47.4,24.6,6.3,5.1,13.3,18.7,112.7
19,Golden State Warriors,71,240.4,40.2,89,0.452,12.5,34.6,0.36,27.8,54.4,0.511,19.9,25.6,0.777,10.7,36.7,47.4,23.7,7.8,4.3,15.1,19.5,112.8
20,Orlando Magic,71,240.7,42.2,89.6,0.47,13.6,36.7,0.371,28.5,52.9,0.54,15.2,19.3,0.787,9.8,37.7,47.5,25.9,7.6,5.3,12.7,18.5,113.1
21,Brooklyn Nets*,71,241.8,42,91.4,0.459,13.2,36.2,0.366,28.7,55.2,0.52,17,21.9,0.777,10.5,32.6,43,24.1,7.6,4.6,12.6,19,114.1
22,Milwaukee Bucks*,71,240.7,42.4,93,0.456,14.8,38.7,0.384,27.5,54.3,0.507,14.6,18.7,0.781,9.6,33.8,43.4,25.1,7,4.8,13.1,18.3,114.2
23,Portland Trail Blazers,71,240.4,41.7,88.1,0.474,12.9,34.6,0.372,28.9,53.5,0.539,18,22.9,0.786,9.9,35.7,45.5,25,6.1,4.7,12.5,19.1,114.3
24,New Orleans Pelicans,71,242.1,41.8,89.2,0.469,14.5,38.2,0.381,27.3,51.1,0.535,16.7,21.1,0.791,9,32.8,41.8,25.9,7.6,5.9,13.4,21.4,115
25,Indiana Pacers,71,242.5,42.8,91.3,0.469,11.5,31.4,0.366,31.3,59.9,0.522,18.3,23.5,0.782,11.2,35.5,46.8,26.1,7.4,5.3,14.8,18.2,115.4
26,Oklahoma City Thunder,71,241.1,43.4,91.5,0.474,13.6,37.3,0.366,29.7,54.3,0.548,15.4,19.9,0.773,10,37.1,47.2,25.9,9,5.3,13.2,18.6,115.7
27,Houston Rockets,71,240.4,42.6,89,0.479,13.5,35.4,0.382,29.1,53.7,0.543,17.8,22.8,0.784,9.9,37.6,47.5,25.7,8.5,5.2,14.7,19.3,116.6
28,Sacramento Kings,71,240.4,43.6,89.5,0.488,12.3,32.5,0.379,31.3,56.9,0.55,17.8,22.6,0.786,10.7,34.5,45.2,25.3,7.5,4.7,13.7,18.8,117.4
29,Minnesota Timberwolves,71,241.8,43,89.2,0.482,13.1,33.4,0.391,29.9,55.8,0.536,18.5,23.6,0.785,10,35.9,45.9,26.8,7.7,5.5,15.3,19.9,117.6
30,Washington Wizards,71,241.8,43.2,91.5,0.472,12.4,33.5,0.371,30.8,58,0.53,19.8,25.4,0.779,10.3,35.9,46.1,24.5,8.2,4.8,14.7,22.1,118.6
,League Average,71,241.5,41.2,88.4,0.466,12.7,34.6,0.367,28.5,53.8,0.53,17,21.8,0.778,9.8,34.5,44.3,24.8,7.6,4.9,13.8,19.3,112.1
