Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Milwaukee Bucks*,71,240.7,44.8,91.8,0.488,14.5,37.1,0.39,30.4,54.8,0.555,16.1,21.2,0.76,10.3,37.9,48.2,25.6,8.1,4.6,13.8,17.3,120.2
2,Brooklyn Nets*,71,241.8,43.1,87.4,0.493,14.1,36.2,0.391,28.9,51.2,0.565,18.2,22.6,0.804,9,35.6,44.5,26.7,6.7,5.2,13.6,19,118.5
3,Washington Wizards,71,241.8,43.2,90.9,0.475,10.2,29,0.351,33,62,0.532,20.2,26.2,0.769,9.7,35.4,45.1,25.5,7.4,4.1,14.4,21.6,116.7
4,Utah Jazz*,71,241.1,41.3,88.1,0.468,16.7,43.1,0.388,24.5,45.1,0.545,17.1,21.4,0.798,10.6,37.6,48.2,23.6,6.5,5.2,14.2,18.6,116.4
5,Portland Trail Blazers,71,240.4,41.2,91.1,0.452,15.7,40.8,0.385,25.5,50.4,0.507,17.7,21.6,0.822,10.6,33.8,44.5,21.2,6.9,5,11.1,19,115.9
6,Phoenix Suns*,71,242.8,43.2,88.1,0.49,13.1,34.6,0.378,30.1,53.5,0.563,15.8,18.9,0.834,8.7,34.1,42.9,26.8,7.2,4.3,12.6,19.2,115.2
7,Indiana Pacers,71,242.5,43.2,91.2,0.474,12.3,33.9,0.363,30.9,57.2,0.54,16.5,20.8,0.793,9,33.6,42.6,27.3,8.5,6.4,13.5,20.2,115.2
8,Denver Nuggets*,71,242.8,43.2,89.1,0.485,12.9,34.2,0.376,30.4,54.9,0.553,15.7,19.6,0.802,10.5,34,44.6,26.9,8.1,4.5,13.6,19.1,115
9,New Orleans Pelicans,71,242.1,42.6,89.2,0.477,10.6,30.5,0.348,32,58.7,0.544,19.1,26.2,0.729,11.8,35.6,47.4,26,7.6,4.4,14.5,18,114.8
10,Los Angeles Clippers*,71,240,41.7,86.4,0.483,14.3,34.6,0.414,27.4,51.8,0.529,16.2,19.3,0.84,9.3,34.8,44.2,24.5,7.1,4.1,13.3,19.3,114
11,Sacramento Kings,71,240.4,42.6,88.6,0.481,12.2,33.4,0.365,30.4,55.2,0.551,16.5,22.2,0.746,9.4,32,41.4,25.5,7.5,5,13.4,19.4,113.9
12,Golden State Warriors,71,240.4,41.3,88.2,0.468,14.5,38.7,0.376,26.7,49.5,0.54,16.6,21.2,0.784,7.9,35.1,43,27.7,8.1,4.8,14.9,21.2,113.7
13,Atlanta Hawks*,71,241.8,40.7,87.2,0.466,12.5,33.5,0.373,28.2,53.7,0.525,19.7,24.2,0.813,10.5,34.9,45.5,24,6.9,4.7,13.2,19.4,113.5
14,Memphis Grizzlies,71,241.8,42.9,91.8,0.467,11.2,31.5,0.357,31.7,60.3,0.525,16.5,21.4,0.771,11.1,35.4,46.6,26.9,9.1,5.1,13.3,18.7,113.5
15,Philadelphia 76ers*,71,242.1,41.3,86.8,0.476,11.2,30,0.372,30.2,56.8,0.531,19.6,25.5,0.768,10,35.1,45.1,23.5,9.1,6.2,14.5,20.1,113.4
16,Boston Celtics,71,241.4,41.5,88.9,0.467,13.6,36.3,0.376,27.9,52.6,0.53,16.2,20.9,0.776,10.6,33.6,44.2,23.5,7.8,5.3,14.1,20.5,112.9
17,Dallas Mavericks*,71,240.4,41,87.3,0.47,13.8,38.1,0.361,27.3,49.2,0.555,16.5,21.2,0.777,9.1,34.3,43.4,22.7,6.3,4.3,12,19.4,112.3
18,Minnesota Timberwolves,71,241.8,40.6,90.9,0.447,13.1,37.5,0.348,27.5,53.4,0.516,17.5,23.1,0.76,10.5,33.1,43.6,25.5,8.7,5.5,14.3,20.9,111.8
19,Toronto Raptors,71,240.4,39.7,88.5,0.449,14.5,39.3,0.368,25.2,49.2,0.513,17.3,21.2,0.816,9.4,32.1,41.5,24.1,8.6,5.4,13.2,21.3,111.2
20,San Antonio Spurs,71,242.8,41.7,90.4,0.462,10,28.5,0.351,31.8,61.9,0.513,17.5,22,0.792,9.3,34.6,43.8,24.4,7,5.1,11.4,18.1,110.9
21,Chicago Bulls,71,241.4,42.1,88.6,0.475,12.5,34,0.369,29.6,54.6,0.541,13.8,17.5,0.792,9.6,35.3,45,26.8,6.7,4.2,15.1,18.9,110.6
22,Los Angeles Lakers,71,242.5,40.6,85.9,0.472,11.1,31.2,0.355,29.5,54.8,0.539,17.4,23.4,0.74,9.7,34.6,44.3,24.6,7.7,5.4,15.3,19.2,109.5
23,Charlotte Hornets,71,241.1,40,87.7,0.456,13.7,36.9,0.37,26.3,50.8,0.517,15.8,20.9,0.759,10.6,33.2,43.8,26.9,7.8,4.8,14.9,18.1,109.5
24,Houston Rockets,71,240.4,39.4,88.5,0.445,13.7,40.3,0.341,25.6,48.2,0.532,16.5,22.3,0.74,9.3,33.3,42.6,23.6,7.6,5,14.7,19.6,109
25,Miami Heat*,71,241.4,39.1,83.7,0.467,12.9,36.2,0.357,26.2,47.5,0.551,16.7,21.1,0.792,8.1,33.5,41.5,26.2,7.9,4,14.1,18.9,107.9
26,New York Knicks*,71,242.1,39.5,86.6,0.456,11.7,30.1,0.39,27.8,56.5,0.492,16.4,20.9,0.784,9.7,35.5,45.2,21.5,7,5.1,13,20.5,107.2
27,Detroit Pistons,71,242.1,38.6,85.6,0.451,11.6,32.9,0.352,27.1,52.7,0.514,17.8,23.4,0.76,9.7,33.2,42.8,24.2,7.4,5.2,14.9,20.5,106.6
28,Oklahoma City Thunder,71,241.1,38.7,87.9,0.44,12,35.3,0.339,26.7,52.7,0.507,15.5,21.4,0.726,9.9,35.6,45.5,22.1,7.1,4.3,16.2,18.2,104.8
29,Orlando Magic,71,240.7,38.3,89.4,0.428,10.9,31.8,0.342,27.4,57.6,0.476,16.4,21.2,0.773,10.4,35,45.4,21.8,6.9,4.4,12.8,17.1,103.8
30,Cleveland Cavaliers,71,242.1,38.6,85.8,0.45,10,29.6,0.337,28.6,56.2,0.51,16.6,22.3,0.745,10.4,32.3,42.7,23.9,7.8,4.5,15.5,18.2,103.8
,League Average,71,241.5,41.2,88.4,0.466,12.7,34.6,0.367,28.5,53.8,0.53,17,21.8,0.778,9.8,34.5,44.3,24.8,7.6,4.9,13.8,19.3,112.1
